Lexème,Chapitre,Glose française,Note
"εὐαγγέλιον, -ου, τό",47,"bonne nouvelle, Évangile",
καταβαίνω,47,descendre,
προσφέρω,47,"offrir, présenter (2e aoriste προσήνεγκον)",
φέρω,47,"porter, apporter (2e aoriste ἤνεγκα)",
ἀνίστημι,48,"intrans. se lever, s’élever; trans. élever, ressusciter",
ἀπόλλυμι,48,"perdre, détruire",
ἀφίημι,48,"laisser, renvoyer, pardonner",
δείκνυμι,48,montrer,
ἐπιτίθημι,48,"mettre sur, imposer, placer",
ἵστημι,48,intrans. se tenir (debout); trans. faire tenir debout,
παρίστημι,48,"intrans. être présent; trans. présenter, placer à côté",
"ποῖος, -α, -ον",48,"quel ?, de quel espèce/sorte ?",
τίθημι,48,"placer, mettre",
φημί,48,"dire, déclarer (2e aoriste ἔφη)",
"αἰώνιος, -ον",49,"éternel, sans fin",
"ἐμός, -ή, -όν",49,"mon, mien",
"ἐντολή, -ῆς, ἡ",49,"ordre, commandement",
"κακός, -ή, -όν",49,"mauvais, méchant",
"μακάριος, -ία, -ιον",49,"béni, heureux, bienheureux",
"νύξ, νυκτός, ἡ",49,nuit,
"σάββατον, -ου, τό",49,sabbat,
"σημεῖον, -ου, τό",49,"signe, miracle",
"τυφλός, -ή, -όν",49,aveugle,
"φῶς, φωτός, τό",49,lumière,
"γραφή, -ῆς, ἡ",50,"écrit, écriture",
"διαθήκη, -ης, ἡ",50,"alliance, pacte",
"ἔτος, -ους, τό",50,"an, année",
εὐθέως,50,"aussitôt, tout de suite, immédiatement",
"καινός, -ή, -όν",50,nouveau,
"παραβολή, -ῆς, ἡ",50,parabole,
"πλῆθος, -ους, τό",50,multitude,
"σωτηρία, -ας, ἡ",50,salut,
"φόβος, -ου, ὁ",50,"peur, crainte",
"φυλακή, -ῆς, ἡ",50,"garde, veille, prison",
ἐπερωτάω,51,"demander, interroger",
ἐπιγινώσκω,51,"reconnaître, connaître, apprendre",
ἐρωτάω,51,"demander, prier, solliciter",
"Ἱεροσόλυμα, τά",51,Jérusalem,
"Ἰερουσαλήμ, ἡ",51,Jérusalem,
"μείζων, μείζον",51,(comparatif de μέγας) plus grand,
"πλείων, πλεῖον",51,"(comparatif de πολύς) plus nombreux, la plupart, beaucoup",
συνάγω,51,rassembler,
διέρχομαι,52,"traverser, aller à travers, parcourir",
ἐγγίζω,52,"approcher, s’approcher",
πλανάω,52,tromper; pass. s’égarer,
πράσσω,52,"faire, accomplir",
ἀσθενέω,53,"être faible, malade",
"ἐπιστολή, -ῆς, ἡ",53,"lettre, épître",
"παρρησία, -ας, ἡ",53,"franchise, liberté de language, audace",
"σκότος, -ους, τό",53,"obscurité, ténèbre",
"φυλή, -ῆς, ἡ",53,"tribu, peuple",
ἐπικαλέω,54,"invoquer, nommer, appeler",
καυχάομαι,54,"se vanter, se glorifier",
παραγίνομαι,54,"arriver, paraître (2e aoriste παρεγενόμην)",
"συνείδησις, -εως, ἡ",54,conscience,
συνέρχομαι,54,"aller ensemble, se rencontrer, se réunir",
